Name,Year,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Briann January,2021.0,G,29,30.2,7.0,2.4,5.8,42.5,0.9,2.4,38.0,1.1,1.3,86.8,1.4,3.1,0.9,0.1,1.8
Victoria Vivians,2021.0,G,31,21.3,6.8,2.5,7.5,33.3,1.0,4.1,25.2,0.8,1.0,83.3,3.1,1.3,1.1,0.1,1.3
Ezi Magbegor,2021.0,C,30,15.2,6.7,2.7,5.3,50.9,0.2,0.3,55.6,1.1,1.3,84.6,3.8,0.8,0.6,0.9,0.9
Astou Ndour-Fall,2021.0,C,20,17.1,6.6,2.3,5.8,39.7,0.4,1.7,23.5,1.6,1.7,94.1,4.8,0.4,0.4,0.8,0.9
Jantel Lavender,2021.0,F,27,20.0,6.4,2.8,7.0,40.4,0.1,0.7,20.0,0.7,0.7,90.0,3.9,1.5,0.0,0.1,1.4
Theresa Plaisance,2021.0,F,31,18.0,6.4,2.3,6.5,35.1,1.1,3.7,30.2,0.7,0.9,81.5,4.4,1.4,0.8,0.7,1.2
Leilani Mitchell,2021.0,G,31,23.4,6.4,2.1,5.7,36.0,1.6,4.5,35.7,0.6,0.7,82.6,2.0,2.5,0.5,0.1,1.1
Aari McDonald,2021.0,G,30,16.4,6.3,1.9,5.8,32.2,1.1,3.5,30.8,1.5,1.7,88.2,1.6,2.0,0.8,0.2,1.2
Jazmine Jones,2021.0,G,27,16.6,5.9,2.0,5.5,35.6,0.7,1.7,38.3,1.3,1.7,76.1,2.4,1.1,0.5,0.4,1.6
Jessica Breland,2021.0,F,26,20.9,5.8,2.6,7.0,37.0,0.2,0.6,31.3,0.5,0.7,68.4,6.3,2.0,0.6,1.5,1.8
Elizabeth Williams,2021.0,C,32,23.8,5.8,2.5,4.8,51.6,0.0,0.0,0.0,0.8,1.7,50.9,4.9,1.2,1.1,1.3,0.8
Jordin Canada,2021.0,G,29,18.7,5.8,1.9,5.0,38.9,0.1,0.5,21.4,1.8,2.2,84.1,2.3,3.0,0.7,0.1,1.1
Ruthy Hebard,2021.0,F,30,16.8,5.8,2.4,4.6,52.9,0.0,0.1,0.0,0.9,1.1,79.4,4.4,0.8,0.7,0.7,0.6
Epiphanny Prince,2021.0,G,29,14.3,5.8,2.0,4.6,43.9,0.9,1.7,50.0,0.9,1.0,89.7,1.6,1.7,0.7,0.2,0.9
Stephanie Talbot,2021.0,F,30,17.9,5.7,2.3,4.8,48.3,0.9,2.2,41.5,0.2,0.3,75.0,2.9,1.6,0.5,0.4,1.6
Kylee Shook,2021.0,F,30,18.9,5.7,2.4,5.1,46.7,0.8,2.0,39.3,0.1,0.2,80.0,4.0,1.4,0.3,0.5,1.3
Sophie Cunningham,2021.0,G,30,17.5,5.6,2.0,4.5,43.7,1.1,2.6,41.0,0.6,0.9,70.4,2.0,1.1,0.5,0.2,0.5
Moriah Jefferson,2021.0,G,29,17.2,5.4,2.3,5.1,44.9,0.8,1.7,46.0,0.1,0.2,60.0,2.0,2.5,0.8,0.2,1.4
Lindsay Allen,2021.0,G,32,17.8,5.4,2.0,4.8,42.8,0.4,1.5,29.8,0.9,1.2,81.1,1.5,3.0,0.5,0.1,1.0
Shey Peddy,2021.0,G,32,17.5,5.4,1.9,4.6,41.2,0.8,2.5,33.3,0.7,0.8,92.0,2.3,2.5,0.9,0.1,1.0
Rachel Banham,2021.0,G,27,12.6,5.0,1.9,4.8,39.5,1.0,2.8,37.3,0.2,0.3,62.5,1.2,1.6,0.3,0.1,0.9
Tianna Hawkins,2021.0,F,28,15.5,4.9,1.8,4.5,39.7,0.6,2.4,24.2,0.8,0.8,91.3,3.1,0.6,0.4,0.5,1.1
Bridget Carleton,2021.0,F,32,19.3,4.8,1.7,4.3,40.1,0.8,2.3,36.5,0.5,0.6,80.0,2.3,1.5,0.8,0.2,0.8
Kia Vaughn,2021.0,C,28,15.8,4.6,2.1,4.8,44.4,0.0,0.0,0.0,0.4,0.7,60.0,2.7,1.3,0.2,0.2,1.3
Megan Walker,2021.0,F,29,14.7,4.5,1.6,5.1,31.1,0.7,2.6,26.7,0.7,1.0,63.3,1.3,0.9,0.2,0.3,0.8
Sydney Wiese,2021.0,G,27,21.4,4.4,1.5,4.7,32.3,0.9,2.9,29.1,0.5,0.7,77.8,1.3,1.6,0.4,0.0,1.0
Tyasha Harris,2021.0,G,32,16.3,4.4,1.5,4.5,33.6,0.6,1.8,33.9,0.8,0.9,83.3,1.6,2.7,0.4,0.3,1.0
Shavonte Zellous,2021.0,G,28,15.8,4.3,1.5,4.1,37.7,0.4,1.5,24.4,0.9,1.1,80.6,2.4,1.6,0.4,0.2,0.8
Kaila Charles,2021.0,G,30,16.3,4.3,1.6,4.4,36.8,0.3,1.1,30.3,0.7,0.8,87.5,2.8,1.1,0.5,0.4,0.9
Erica McCall,2021.0,F,23,15.5,4.1,1.6,3.2,50.0,0.0,0.0,0.0,0.9,1.4,62.5,4.3,0.6,0.3,0.4,0.9
Dana Evans,2021.0,G,23,8.6,3.9,1.1,3.2,35.6,0.7,1.8,40.5,0.9,1.0,87.5,0.5,1.2,0.2,0.0,0.6
Natalie Achonwa,2021.0,F,21,12.0,3.7,1.2,2.9,42.6,0.0,0.0,0.0,1.2,1.3,89.3,2.1,1.2,0.6,0.2,0.6
Charli Collier,2021.0,F,28,12.3,3.4,1.4,3.1,46.5,0.0,0.0,0.0,0.6,0.8,69.6,3.6,0.2,0.1,0.2,0.5
Arella Guirantes,2021.0,G,25,11.6,3.2,1.0,3.8,27.4,0.2,1.1,22.2,0.8,1.0,80.8,1.3,0.6,0.3,0.2,0.5
Kennedy Burke,2021.0,F,23,7.7,2.9,1.1,2.4,44.6,0.3,0.8,33.3,0.4,0.7,62.5,0.8,0.3,0.3,0.1,0.5
DiJonai Carrington,2021.0,G,24,9.2,2.8,1.1,3.4,32.9,0.1,0.9,14.3,0.5,0.6,73.3,2.0,0.5,0.5,0.1,0.9
Bella Alarie,2021.0,C,31,13.1,2.6,1.0,2.1,50.0,0.0,0.1,0.0,0.5,0.6,85.0,3.3,0.5,0.6,0.6,0.6
Shekinna Stricklen,2021.0,F,24,9.8,2.5,0.9,3.5,25.9,0.6,2.8,21.2,0.1,0.2,40.0,0.9,0.3,0.4,0.2,0.1
DiDi Richards,2021.0,G,31,11.2,2.3,0.9,2.1,42.2,0.3,0.7,45.5,0.2,0.3,60.0,1.1,0.8,0.5,0.2,0.5
Jessica Shepard,2021.0,F,22,10.5,2.0,0.7,2.0,36.4,0.0,0.5,8.3,0.5,0.7,75.0,3.2,1.7,0.1,0.2,0.8
Ji-Su Park,2021.0,C,25,8.9,2.0,0.7,2.1,32.7,0.0,0.2,0.0,0.6,0.7,83.3,1.8,0.8,0.1,0.6,0.8
Beatrice Mompremier,2021.0,F,32,8.6,1.8,0.8,1.7,49.1,0.0,0.0,0.0,0.2,0.4,41.7,2.4,0.2,0.4,0.3,0.6
Destiny Slocum,2021.0,G,21,6.4,1.0,0.3,1.0,31.8,0.2,0.7,33.3,0.1,0.2,60.0,0.9,0.6,0.1,0.0,0.3
Breanna Stewart,2022.0,F,34,30.9,21.8,7.5,15.9,47.2,2.0,5.2,37.9,4.8,5.8,83.7,7.6,2.9,1.6,0.9,1.3
Kelsey Plum,2022.0,G,36,32.8,20.2,6.8,14.8,46.0,3.1,7.5,42.0,3.5,4.1,83.9,2.7,5.1,1.0,0.1,2.6
Skylar Diggins-Smith,2022.0,G,30,34.0,19.7,6.9,16.2,42.9,1.3,4.5,29.6,4.5,5.3,84.4,4.0,5.5,1.5,1.0,2.7
Arike Ogunbowale,2022.0,G,30,31.4,19.7,6.8,17.0,40.0,2.8,7.9,35.2,3.3,4.1,79.8,3.3,3.6,1.5,0.1,1.8
A'ja Wilson,2022.0,C,36,30.0,19.5,7.2,14.4,50.1,0.9,2.3,37.3,4.2,5.2,81.3,9.4,2.1,1.4,1.9,1.7
Kelsey Mitchell,2022.0,G,31,32.6,18.4,6.3,14.4,43.8,2.3,5.7,40.9,3.4,3.9,86.1,1.9,4.2,0.9,0.2,2.4
Nneka Ogwumike,2022.0,F,34,31.4,18.1,7.3,13.5,54.4,0.6,1.7,36.8,2.8,3.4,82.6,6.6,2.0,1.7,0.4,1.8
Sabrina Ionescu,2022.0,G,36,32.3,17.4,5.9,14.3,41.1,2.3,6.9,33.3,3.4,3.6,93.1,7.1,6.3,1.1,0.3,3.0
Elena Delle Donne,2022.0,F,25,27.8,17.2,6.2,12.9,48.0,1.4,3.8,36.8,3.4,3.7,91.3,6.3,2.3,0.5,1.1,1.1
Diana Taurasi,2022.0,G,31,31.0,16.7,4.8,13.0,37.3,3.0,8.8,33.7,4.1,4.6,89.4,3.4,3.9,0.7,0.6,2.7
Jewell Loyd,2022.0,G,36,30.3,16.3,5.6,14.1,39.6,2.3,6.1,38.5,2.8,3.1,89.3,2.6,3.4,1.1,0.2,2.2
Rhyne Howard,2022.0,G,34,31.4,16.2,5.4,15.0,36.1,2.5,7.3,34.3,2.9,3.7,79.2,4.5,2.8,1.6,0.8,1.6
Jackie Young,2022.0,G,34,33.2,15.9,5.6,11.8,47.6,1.5,3.4,43.1,3.2,3.8,85.9,4.4,3.9,1.4,0.2,1.3
Kahleah Copper,2022.0,G,31,28.7,15.7,5.7,11.8,48.1,1.2,3.3,35.6,3.2,4.2,77.5,5.7,2.3,0.5,0.0,2.0
Natasha Howard,2022.0,F,35,29.9,15.1,5.9,12.2,48.2,0.9,2.6,32.6,2.5,3.5,71.5,7.3,2.3,1.3,1.0,3.2
Ariel Atkins,2022.0,G,36,30.0,14.6,5.1,12.2,42.0,1.9,5.3,36.5,2.4,2.9,84.5,3.3,2.3,1.3,0.3,1.4
Jonquel Jones,2022.0,F,33,26.4,14.6,5.3,10.4,51.3,1.2,3.4,36.9,2.7,3.4,80.2,8.6,1.8,1.1,1.2,2.6
Aerial Powers,2022.0,G,35,26.9,14.4,4.9,12.6,38.5,0.9,3.1,30.8,3.8,4.6,81.5,4.7,2.9,1.2,0.3,2.6
Sylvia Fowles,2022.0,C,30,27.7,14.4,6.1,9.9,62.2,0.0,0.0,0.0,2.1,3.2,66.0,9.8,1.2,1.0,1.2,2.1
Brionna Jones,2022.0,F,36,25.1,13.8,5.2,9.1,56.9,0.0,0.2,0.0,3.4,4.1,84.4,5.1,1.2,1.2,0.4,1.5
Chelsea Gray,2022.0,G,35,29.7,13.7,5.2,10.7,49.1,1.0,2.9,34.0,2.3,2.5,91.0,3.2,6.1,1.6,0.3,2.3
Marina Mabrey,2022.0,G,34,28.0,13.6,5.2,12.5,42.0,1.8,5.1,35.1,1.4,2.0,68.1,3.6,3.7,0.8,0.4,2.4
NaLyssa Smith,2022.0,F,32,30.7,13.5,5.0,11.9,41.9,1.2,3.0,38.1,2.4,3.8,61.8,7.9,1.4,0.5,0.3,2.4
DeWanna Bonner,2022.0,F,33,30.0,13.5,4.7,10.8,43.9,1.4,4.2,32.9,2.6,3.2,82.7,4.7,2.8,1.2,0.3,1.6
Alyssa Thomas,2022.0,F,36,32.1,13.4,5.2,10.4,50.0,0.0,0.1,0.0,3.0,4.1,73.0,8.2,6.1,1.7,0.2,2.9
Allisha Gray,2022.0,G,33,32.9,13.3,4.4,10.5,42.3,1.9,4.8,40.8,2.5,3.2,79.8,4.8,2.5,1.1,0.7,1.3
Kayla McBride,2022.0,G,31,29.8,13.3,4.4,10.9,40.5,1.5,4.3,35.6,2.9,3.2,90.9,2.8,2.1,1.0,0.1,1.5
Candace Parker,2022.0,F,32,28.3,13.2,5.0,10.8,45.8,1.3,4.2,31.1,1.9,2.4,81.6,8.6,4.5,1.0,1.0,2.4
Diamond DeShields,2022.0,G,30,25.3,13.1,4.7,12.2,38.8,0.7,3.0,23.6,2.9,3.8,76.5,3.8,2.2,1.0,0.5,2.3
Liz Cambage,2022.0,C,25,23.4,13.0,4.7,9.2,50.9,0.2,0.6,28.6,3.5,4.4,78.4,6.4,2.1,0.6,1.6,2.3
Brittney Sykes,2022.0,G,32,28.8,12.7,4.8,11.0,43.3,0.4,1.6,26.9,2.7,3.5,77.0,3.7,3.7,2.0,0.7,2.6
Sophie Cunningham,2022.0,G,28,29.5,12.6,4.3,9.5,44.9,2.5,6.3,40.0,1.5,1.7,87.5,4.4,1.6,1.0,0.4,1.0
Emma Meesseman,2022.0,F,36,28.6,12.4,5.4,9.4,57.1,0.4,1.1,34.2,1.3,1.5,88.7,5.6,3.8,1.4,0.8,1.4
Cheyenne Parker-Tyus,2022.0,F,36,26.2,11.8,4.9,9.8,50.0,0.3,1.5,21.8,1.7,2.2,79.5,6.2,2.0,1.0,0.9,2.0
Courtney Vandersloot,2022.0,G,32,26.5,11.8,4.3,8.8,48.1,0.9,2.5,36.7,2.3,3.1,76.5,3.9,6.5,1.2,0.5,2.7
Allie Quigley,2022.0,G,34,26.3,11.4,3.8,8.9,42.8,1.5,4.1,35.5,2.2,2.4,95.0,2.5,2.9,0.7,0.2,1.3
Courtney Williams,2022.0,G,34,27.9,11.1,4.9,11.4,42.6,0.6,1.9,33.8,0.8,1.1,75.0,4.6,3.3,1.0,0.4,1.7
Aari McDonald,2022.0,G,36,24.3,11.1,3.6,8.9,41.1,1.3,3.9,33.8,2.4,2.8,87.1,2.3,2.6,1.4,0.0,2.1
Teaira McCowan,2022.0,C,33,18.9,11.0,4.2,7.0,60.2,0.0,0.0,0.0,2.5,4.2,60.0,7.0,0.8,0.3,0.7,1.7
Moriah Jefferson,2022.0,G,30,26.8,10.8,3.9,8.6,45.2,1.2,2.5,47.4,1.8,2.2,81.5,2.5,4.9,1.2,0.1,2.3
Natasha Cloud,2022.0,G,34,31.3,10.7,3.6,9.1,39.9,1.3,4.0,31.9,2.2,2.7,82.4,3.6,7.0,1.0,0.3,2.8
Azura Stevens,2022.0,F,35,21.9,10.6,4.3,9.1,47.2,1.2,3.3,36.2,0.8,1.1,74.4,3.9,0.8,0.5,1.1,0.7
Marine Johannes,2022.0,G,24,25.5,10.0,3.5,7.5,46.4,2.3,5.3,43.7,0.8,1.0,87.0,1.7,3.4,0.6,0.1,1.8
Shey Peddy,2022.0,G,34,28.6,9.9,3.4,8.2,41.8,1.4,4.3,32.9,1.6,1.9,88.9,3.8,3.4,1.6,0.2,1.4
Victoria Vivians,2022.0,G,35,26.9,9.8,3.6,10.7,33.6,1.3,4.5,28.0,1.3,1.8,74.2,3.6,2.4,1.1,0.3,2.1
Katie Lou Samuelson,2022.0,F,32,29.5,9.7,3.3,9.0,37.3,1.8,5.0,35.2,1.3,1.5,83.7,3.0,1.9,1.0,0.2,1.1
Ezi Magbegor,2022.0,C,33,24.8,9.5,4.0,7.3,55.0,0.3,0.9,34.5,1.2,1.6,73.6,5.6,1.4,0.9,1.8,1.4
Dearica Hamby,2022.0,F,34,26.5,9.3,3.4,7.3,46.6,0.5,2.1,21.9,2.0,2.7,72.0,7.1,1.1,1.1,0.1,1.5
Jordin Canada,2022.0,G,32,27.0,9.2,3.3,8.5,38.4,0.2,1.6,14.0,2.5,3.1,80.6,2.3,5.5,1.4,0.2,2.3
Natisha Hiedeman,2022.0,G,36,25.0,9.1,3.3,7.6,43.1,1.9,4.7,41.1,0.7,0.8,80.0,1.8,3.3,1.2,0.1,1.3
Myisha Hines-Allen,2022.0,F,34,19.3,8.9,3.4,8.1,41.5,0.9,2.3,36.7,1.3,1.9,70.3,5.3,1.9,0.8,0.3,1.7
Chennedy Carter,2022.0,G,24,16.4,8.9,3.5,7.9,45.0,0.1,0.4,20.0,1.7,2.3,74.5,1.9,1.9,0.6,0.4,1.8
Isabelle Harrison,2022.0,F,35,18.4,8.7,3.3,7.1,46.6,0.1,0.1,100.0,2.1,2.4,86.7,4.3,1.3,0.7,0.1,1.3
Shakira Austin,2022.0,C,36,21.6,8.7,3.4,6.2,54.7,0.0,0.0,0.0,1.9,3.0,62.4,6.4,0.9,0.8,0.8,1.5
Han Xu,2022.0,C,32,16.8,8.5,3.4,6.9,49.3,0.5,1.1,44.4,1.2,1.5,79.6,3.6,0.9,0.5,0.7,0.7
Rebekah Gardner,2022.0,G,35,21.7,8.4,3.3,6.1,54.2,0.4,1.2,35.7,1.4,1.7,80.0,3.3,1.3,1.4,0.5,1.6
Erica Wheeler,2022.0,G,30,26.3,8.4,3.3,9.2,35.5,0.8,2.4,32.9,1.0,1.4,75.6,3.1,3.9,1.1,0.1,2.5
Jessica Shepard,2022.0,F,36,26.1,8.1,3.0,6.0,50.2,0.2,0.6,26.1,1.9,2.6,73.4,7.4,3.0,0.4,0.3,1.7
Stefanie Dolson,2022.0,C,36,22.9,8.1,3.1,6.4,49.3,0.7,1.8,39.4,1.1,1.2,90.5,4.8,1.8,0.4,0.8,1.6
Alysha Clark,2022.0,F,29,26.4,8.0,3.1,6.8,46.4,1.0,3.4,30.3,0.7,0.8,91.3,4.5,2.0,1.0,0.3,1.3
Kayla Thornton,2022.0,F,36,29.2,8.0,2.7,5.8,46.9,0.7,2.1,32.5,1.9,2.3,82.9,5.9,1.8,1.1,0.6,1.2
Rachel Banham,2022.0,G,36,17.5,7.9,2.8,6.5,43.0,1.6,4.1,38.3,0.7,0.8,80.0,1.3,2.3,0.3,0.1,1.3
Sue Bird,2022.0,G,31,26.4,7.8,2.7,6.8,40.3,1.8,4.6,38.9,0.5,0.5,100.0,1.9,6.0,1.2,0.1,1.9
Gabby Williams,2022.0,F,36,25.6,7.5,3.0,6.8,44.4,0.5,1.9,25.7,1.0,1.3,77.8,5.0,3.1,1.5,0.4,1.4
Danielle Robinson,2022.0,G,31,23.6,7.4,2.7,6.5,41.9,0.3,1.3,22.5,1.6,1.9,85.0,2.9,3.8,0.7,0.2,1.6
Queen Egbo,2022.0,C,33,21.8,7.2,2.9,6.5,44.2,0.0,0.0,0.0,1.5,2.3,64.5,6.3,0.9,0.9,1.2,1.9
Lexie Brown,2022.0,G,34,25.0,7.1,2.7,6.2,44.1,1.6,3.9,39.8,0.1,0.2,66.7,2.3,2.1,1.0,0.2,0.8
Emma Cannon,2022.0,F,23,14.3,7.0,2.6,4.9,52.2,0.4,0.8,50.0,1.5,2.0,73.9,3.2,0.5,0.6,0.1,0.7
Chiney Ogwumike,2022.0,F,26,18.4,7.0,2.7,5.7,46.6,0.3,0.7,44.4,1.4,2.0,70.6,5.5,1.1,0.7,0.3,1.4
Rebecca Allen,2022.0,G,25,20.9,7.0,2.6,6.8,37.9,1.0,3.3,31.3,0.8,1.0,83.3,3.4,1.2,0.8,1.0,1.0
Shatori Walker-Kimbrough,2022.0,G,35,20.1,6.9,2.3,5.7,40.2,0.7,2.1,34.7,1.6,1.7,90.2,1.8,1.5,1.1,0.3,1.1
DiJonai Carrington,2022.0,G,36,17.5,6.8,2.3,5.6,41.4,0.5,1.7,30.6,1.6,2.1,75.0,3.1,1.1,0.8,0.1,1.6
Kristy Wallace,2022.0,G,29,20.8,6.6,2.3,5.6,40.7,0.9,2.3,36.8,1.1,1.4,78.6,2.3,2.2,0.6,0.2,1.5
Tiffany Mitchell,2022.0,G,34,16.3,6.5,2.4,5.4,45.1,0.4,0.9,38.7,1.3,1.5,86.5,1.2,1.2,0.8,0.1,0.9
Sami Whitcomb,2022.0,G,35,21.3,6.5,2.1,5.7,36.8,1.7,4.8,35.1,0.6,0.7,87.0,2.3,2.3,0.7,0.1,1.4
Monique Billings,2022.0,F,23,17.4,6.5,2.4,5.1,47.0,0.0,0.0,0.0,1.7,2.2,76.5,6.3,1.1,0.8,0.3,1.3
Nikolina Milic,2022.0,F,31,11.7,6.0,2.4,4.4,54.8,0.2,0.7,27.3,1.0,1.4,73.8,3.0,0.7,0.3,0.3,1.4
Crystal Dangerfield,2022.0,G,30,22.1,5.4,2.0,5.1,39.5,0.7,2.2,32.3,0.7,1.0,70.0,2.1,2.5,0.6,0.1,0.9
Elizabeth Williams,2022.0,C,30,14.9,5.4,2.3,4.7,48.2,0.0,0.0,0.0,0.8,1.4,58.1,3.8,0.5,0.6,0.6,0.6
Destanni Henderson,2022.0,G,36,16.4,5.3,2.0,4.9,40.1,0.7,2.0,36.6,0.6,0.9,71.9,1.6,2.5,0.8,0.1,1.7
Natalie Achonwa,2022.0,F,22,15.1,5.3,2.1,4.1,51.6,0.0,0.1,0.0,1.0,1.2,81.5,4.1,1.7,0.4,0.3,1.0
Emily Engstler,2022.0,F,35,18.2,5.2,2.1,5.2,39.6,0.5,1.3,35.6,0.6,1.1,55.3,5.2,1.5,0.8,1.1,1.4
Stephanie Talbot,2022.0,F,34,16.1,5.0,1.9,4.1,46.4,0.9,2.1,39.7,0.4,0.7,58.3,3.1,1.3,0.7,0.3,1.1
Tyasha Harris,2022.0,G,35,15.8,5.0,2.0,4.7,41.8,0.5,1.5,31.5,0.5,0.7,79.2,0.9,2.8,0.4,0.1,1.1
Tianna Hawkins,2022.0,F,25,12.8,4.9,1.8,4.6,38.6,0.6,2.1,26.4,0.8,0.8,95.2,2.4,0.8,0.4,0.1,1.2
Michaela Onyenwere,2022.0,F,34,13.7,4.7,1.4,3.8,37.7,0.4,1.5,30.0,1.4,1.6,83.6,2.1,0.4,0.4,0.2,0.7
Naz Hillmon,2022.0,F,34,19.8,4.4,1.7,3.6,48.0,0.0,0.1,0.0,0.9,1.1,82.1,5.1,1.2,0.6,0.3,1.2
Bridget Carleton,2022.0,F,36,16.8,4.3,1.5,3.8,40.0,0.8,2.3,34.9,0.5,0.7,73.1,2.1,1.1,0.4,0.1,0.6
Brianna Turner,2022.0,F,35,33.4,4.3,1.9,3.2,60.7,0.0,0.0,0.0,0.4,0.9,50.0,6.8,2.3,1.3,1.6,1.4
Dana Evans,2022.0,G,33,11.5,4.3,1.5,3.9,37.7,0.7,2.0,32.8,0.7,0.8,88.0,0.8,1.2,0.3,0.1,0.8
Theresa Plaisance,2022.0,F,31,12.9,4.0,1.4,3.7,37.1,1.0,2.9,34.8,0.2,0.3,70.0,2.6,0.5,0.3,0.4,0.6
Olivia Nelson-Ododa,2022.0,F,30,14.5,4.0,1.6,2.8,56.0,0.0,0.0,0.0,0.9,1.2,70.3,3.0,0.4,0.3,0.8,1.0
Epiphanny Prince,2022.0,G,33,12.3,3.9,1.3,3.8,35.5,0.6,1.8,35.6,0.6,0.8,84.0,1.0,1.8,0.6,0.1,0.5
Lexie Hull,2022.0,G,26,12.8,3.8,1.1,4.0,26.7,0.3,1.7,18.6,1.4,1.5,90.0,1.5,0.7,0.6,0.1,0.7
Jantel Lavender,2022.0,F,27,12.2,3.8,1.7,4.1,40.9,0.2,0.9,20.8,0.3,0.4,66.7,3.3,0.9,0.1,0.1,0.9
Megan Gustafson,2022.0,C,33,9.6,3.8,1.5,2.8,54.9,0.4,0.8,46.2,0.4,0.5,76.5,1.9,0.5,0.2,0.2,0.7
Briann January,2022.0,G,36,16.9,3.7,1.3,3.4,37.7,0.6,2.1,31.1,0.5,0.6,82.6,1.0,2.4,0.6,0.2,1.5
Jennie Simms,2022.0,G,23,13.2,3.4,1.3,2.7,47.6,0.2,0.8,21.1,0.7,0.8,78.9,2.2,0.9,0.5,0.0,1.0
Julie Allemand,2022.0,G,25,16.1,3.0,1.0,2.4,41.7,0.4,1.2,29.0,0.6,0.7,83.3,1.6,3.4,0.6,0.1,1.3
Awak Kuier,2022.0,F,33,12.6,2.8,1.0,2.6,39.5,0.1,0.6,19.0,0.6,0.9,61.3,2.5,0.9,0.4,0.9,0.6
Veronica Burton,2022.0,G,36,15.2,2.6,0.7,2.1,32.9,0.3,1.2,27.9,0.9,0.9,100.0,1.5,1.9,0.9,0.3,1.0
Kia Vaughn,2022.0,C,29,13.8,2.5,1.1,2.8,40.0,0.0,0.0,0.0,0.3,0.4,69.2,3.2,0.9,0.3,0.3,1.2
Ruthy Hebard,2022.0,F,24,9.7,2.3,1.0,2.0,51.0,0.0,0.0,0.0,0.3,0.3,75.0,1.7,0.5,0.3,0.1,0.5
Kiah Stokes,2022.0,C,31,15.4,2.3,0.8,2.0,42.6,0.2,0.8,20.8,0.4,0.5,81.3,4.4,0.6,0.5,0.8,0.6
Nia Clouden,2022.0,G,28,8.9,2.1,0.6,1.9,34.0,0.4,1.0,41.4,0.4,0.6,58.8,0.8,0.8,0.2,0.0,0.4
Joyner Holmes,2022.0,F,26,7.9,2.0,0.7,2.3,31.1,0.2,0.8,22.7,0.4,0.5,76.9,1.3,0.5,0.3,0.1,0.7
Rui Machida,2022.0,G,36,12.9,1.8,0.7,2.3,31.0,0.2,0.9,20.6,0.2,0.3,66.7,1.1,2.6,0.4,0.1,1.1
Jasmine Walker,2022.0,F,32,8.8,1.6,0.6,2.4,25.0,0.3,1.6,20.0,0.1,0.1,100.0,1.5,0.2,0.2,0.1,0.5
Aisha Sheppard,2022.0,G,23,7.6,1.5,0.4,1.8,23.8,0.4,1.4,27.3,0.3,0.3,75.0,0.6,0.3,0.2,0.0,0.3
Sam Thomas,2022.0,F,24,4.9,0.4,0.2,0.8,21.1,0.0,0.6,6.7,0.0,0.0,100.0,0.2,0.3,0.3,0.1,0.2
Jewell Loyd,2023.0,G,38,35.4,24.7,7.5,20.3,37.0,3.0,8.5,35.6,6.7,7.5,88.8,4.7,3.4,1.0,0.4,2.8
Breanna Stewart,2023.0,F,40,34.1,23.0,7.9,17.0,46.5,2.1,5.8,35.5,5.1,6.0,85.1,9.3,3.8,1.5,1.6,1.5
A'ja Wilson,2023.0,C,40,30.7,22.8,8.4,15.0,55.7,0.2,0.7,31.0,5.8,7.2,81.2,9.5,1.6,1.4,2.2,1.6
Napheesa Collier,2023.0,F,37,33.5,21.5,8.0,16.6,48.5,0.9,3.1,29.8,4.5,5.4,84.0,8.5,2.5,1.6,1.2,2.4
Arike Ogunbowale,2023.0,G,40,37.2,21.2,7.5,18.8,39.8,2.9,8.5,34.3,3.4,3.8,87.6,3.4,4.5,1.7,0.1,2.6
Nneka Ogwumike,2023.0,F,36,31.1,19.1,7.3,14.3,51.2,0.6,1.7,33.9,3.9,4.5,87.0,8.8,2.7,1.7,0.7,2.2
Kahleah Copper,2023.0,G,38,31.2,18.7,6.9,15.4,44.8,1.8,4.5,40.4,3.1,4.0,77.0,4.4,2.0,0.9,0.3,2.5
Kelsey Plum,2023.0,G,39,32.4,18.7,6.4,13.4,47.5,2.4,6.3,38.9,3.5,3.8,91.2,2.4,4.5,1.1,0.0,2.1
Satou Sabally,2023.0,F,38,33.1,18.6,6.2,14.3,43.5,1.7,4.8,36.1,4.4,5.0,87.4,8.1,4.4,1.8,0.4,2.9
Kelsey Mitchell,2023.0,G,40,33.7,18.2,6.1,13.9,44.1,2.6,6.4,39.8,3.4,4.1,82.4,1.6,3.1,0.9,0.1,2.3
Jackie Young,2023.0,G,40,31.5,17.6,6.2,11.9,52.3,2.2,5.0,44.9,2.9,3.4,86.7,4.0,3.8,1.3,0.1,1.8
Brittney Griner,2023.0,C,31,27.6,17.5,7.1,12.6,56.0,0.0,0.3,11.1,3.4,4.4,77.2,6.3,2.2,0.5,1.6,2.1
Rhyne Howard,2023.0,G,39,32.9,17.5,5.8,15.1,38.5,2.5,7.2,35.2,3.3,4.2,78.8,4.9,3.5,1.3,0.6,1.9
DeWanna Bonner,2023.0,F,40,30.1,17.4,5.8,13.7,42.5,1.9,5.7,32.9,3.9,4.5,86.2,5.6,2.2,1.1,0.6,1.5
Allisha Gray,2023.0,G,38,32.7,17.1,5.8,12.4,46.5,1.1,3.1,35.6,4.4,5.4,82.4,4.9,3.1,1.1,0.4,1.9
Sabrina Ionescu,2023.0,G,36,31.5,17.0,5.4,12.8,42.3,3.6,7.9,44.8,2.6,3.0,87.2,5.6,5.4,1.0,0.3,2.6
